timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,baseline_window,baseline_observations,rolling_median,rolling_mad,robust_z,rolling_percentile_rank,severity,status,event_candidate_id,event_review_status,evidence_refs,limitation,review_status,claim_scope
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,last_3_completed_observations,2,0.51,0.0,,1.0,none,zero_mad,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,hhi_concentration,0.51,last_3_completed_observations,3,0.51,0.0,,1.0,none,zero_mad,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:hhi_concentration,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:15:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,top_tier_share,0.67,last_3_completed_observations,0,,,,,none,insufficient_baseline,,,live_wallet_tier_snapshots:top_tier_share,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,top_tier_share,0.67,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:top_tier_share,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,top_tier_share,0.67,last_3_completed_observations,2,0.67,0.0,,1.0,none,zero_mad,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:top_tier_share,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,all_tiers,concentration,top_tier_share,0.67,last_3_completed_observations,3,0.67,0.0,,1.0,none,zero_mad,event_candidate_mock_geo_001,accepted,live_wallet_tier_snapshots:top_tier_share,aggregate diagnostic fixture concentration replay; no wallet-performance claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:30:00Z,mock_polymarket_politics_geo_001,market,market_move,absolute_midpoint_change,0.020000000000000018,last_3_completed_observations,0,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_market_snapshots:price_midpoint,diagnostic local live-style fixture; no live source or orderbook claim,candidate,descriptive_monitor_alert_only
2026-05-20T00:45:00Z,mock_polymarket_politics_geo_001,market,market_move,absolute_midpoint_change,0.040000000000000036,last_3_completed_observations,1,,,,,none,insufficient_baseline,event_candidate_mock_geo_001,accepted,live_market_snapshots:price_midpoint,diagnostic local live-style fixture; no live source or orderbook claim,candidate,descriptive_monitor_alert_only
2026-05-20T01:00:00Z,mock_polymarket_politics_geo_001,market,market_move,absolute_midpoint_change,0.010000000000000009,last_3_completed_observations,2,0.030000000000000027,0.010000000000000009,-1.3489815189531904,0.0,none,ok,event_candidate_mock_geo_001,accepted,live_market_snapshots:price_midpoint,diagnostic local live-style fixture; no live source or orderbook claim,candidate,descriptive_monitor_alert_only
