timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,baseline_window,baseline_observations,rolling_median,rolling_mad,robust_z,rolling_percentile_rank,severity,status,event_candidate_id,event_review_status,evidence_refs,limitation,review_status,claim_scope
2024-10-01T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.2,last_30_completed_observations,0,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-02T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.21500000000000002,last_30_completed_observations,1,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-03T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.23,last_30_completed_observations,2,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-04T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.245,last_30_completed_observations,3,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-05T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.26,last_30_completed_observations,4,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-06T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.2,last_30_completed_observations,5,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-07T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.21500000000000002,last_30_completed_observations,6,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-08T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.23,last_30_completed_observations,7,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-09T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.245,last_30_completed_observations,8,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-10T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.26,last_30_completed_observations,9,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-10-11T00:00:00Z,mock_polymarket_politics_geo_market,all_tiers,concentration,top_tier_share,0.2,last_30_completed_observations,10,,,,,none,insufficient_baseline,,,mock_wallet_tier_snapshot,mocked concentration fixture; no wallet performance claim,candidate,descriptive_monitor_alert_only
