source_id,priority_order,priority_band,local_file_type,local_file_exists,local_file_size_bytes,pdf_page_count_estimate,html_title_present,html_heading_count,html_word_count,structure_inventory_status,manual_review_instruction_de,do_not_claim_de
lit_brier_001,1,priority_1_method_foundation_review,not_local,False,0,0,False,0,0,external_only,Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
lit_dm_001,2,priority_1_method_foundation_review,not_local,False,0,0,False,0,0,external_only,Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
lit_emh_001,3,priority_1_method_foundation_review,not_local,False,0,0,False,0,0,external_only,Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
lit_eventstudy_001,4,priority_1_method_foundation_review,not_local,False,0,0,False,0,0,external_only,Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
lit_granger_001,5,priority_1_method_foundation_review,not_local,False,0,0,False,0,0,external_only,Externe DOI/JSTOR/URL manuell oeffnen; Page-/Section-Note eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_001,6,priority_1_method_foundation_review,pdf,True,2431006,35,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_002,7,priority_1_method_foundation_review,pdf,True,595923,31,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_005,8,priority_1_method_foundation_review,pdf,True,78496,15,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_006,9,priority_1_method_foundation_review,pdf,True,965324,44,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_007,10,priority_1_method_foundation_review,pdf,True,781000,70,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_009,11,priority_1_method_foundation_review,htm,True,184812,0,True,17,10955,local_html_structure_available,"HTML manuell pruefen; nur Kontext nutzen, wenn Quelle nicht akademisch ist.",Keine thesis-facing Claims ohne manuelle Review-Note; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_010,12,blocked_or_future_work_only,pdf,True,2123509,16,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_003,13,not_currently_needed,htm,True,162462,0,True,19,15380,local_html_structure_available,"HTML manuell pruefen; nur Kontext nutzen, wenn Quelle nicht akademisch ist.",Keine thesis-facing Claims; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_004,14,not_currently_needed,pdf,True,215941,0,False,0,0,local_pdf_structure_available,PDF manuell oeffnen; Page-/Section-Note im Source Worksheet eintragen.,Keine thesis-facing Claims; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
zotero_poly_008,15,not_currently_needed,htm,True,178826,0,True,12,12069,local_html_structure_available,"HTML manuell pruefen; nur Kontext nutzen, wenn Quelle nicht akademisch ist.",Keine thesis-facing Claims; keine Quellenstatus-Hochstufung; keine Inhaltsinterpretation.
